scenario,variable,initial_value,final_value,total_change,max_value,min_value,volatility
Recesión,gdp,0.3110534942818216,0.01994840753267238,-0.29110508674914926,0.3110534942818216,-0.02690027345191319,0.08629165231126022
Recesión,inflation,2.3777581146709013,2.482151918071099,0.10439380340019788,2.482151918071099,2.3777581146709013,0.03413602746823481
Recesión,policy_rate,-0.33506633226353,-0.10336672574998812,0.23169960651354188,-0.06718078052387261,-0.33506633226353,0.06894624460407743
Recesión,real_rate,-0.14349402000698847,-0.16072200003345574,-0.017227980026467277,-0.14349402000698847,-0.1736882635736667,0.006860124077437351
Inflación,gdp,0.3252289743196096,0.021209312946365185,-0.30401966137324443,0.3252289743196096,-0.027989616580197753,0.09013993162576331
Inflación,inflation,2.528060550287631,2.6390445815465218,0.11098403125889078,2.6390445815465218,2.528060550287631,0.03629263877638213
Inflación,policy_rate,-0.35343249006647226,-0.1099003632764835,0.24353212678998876,-0.07174067347401986,-0.35343249006647226,0.07248035819305276
Inflación,real_rate,-0.15847046562461536,-0.1708809683383193,-0.012410502713703947,-0.15847046562461536,-0.1841403007480521,0.006177650373182696
Recuperación,gdp,0.30719438285570133,0.019693678128727445,-0.28750070472697387,0.30719438285570133,-0.027124362631818853,0.08526090518529326
Recuperación,inflation,2.3473987413995334,2.4504563015584004,0.10305756015886702,2.4504563015584004,2.3473987413995334,0.0336995974457647
Recuperación,policy_rate,-0.3342540764277115,-0.10204679360654292,0.23220728282116856,-0.0656581382955161,-0.3342540764277115,0.06909925920022082
Recuperación,real_rate,-0.15530491672793073,-0.15866967485590663,-0.003364758127975903,-0.14970205778714155,-0.17107519486507666,0.005035339921153273
